gazetteer_name,gaode_map_item,place_type,match_status,visual_priority,occurrence_count,in_curated_checklist,primary_year,earliest_year,latest_year,year_list,year_count,time_type,year_source,time_anchor_note,lon,lat,coord_source,coord_status,coord_crs,coord_note,gaode_check_action,first_context,time_context,notes
石湖上方山行春桥,石湖上方山行春桥,bridge,review,medium,1,0,1189,1189,1189,1189,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,是桥梁技术史上的一个重大成就。在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。现在建造多孔拱桥时，每隔3—5孔必建造一座刚性墩，就是吸收了古人的技术。宝带桥的砌拱法也比较特,在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。,
行春桥,行春桥,bridge,review,medium,2,0,1189,1189,1189,1189,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,]宋崧昔人所见更奇绝，宝带桥横作天阙。玉轮初出无纤云，六十二拱各一月。注：这里的六十二拱是加了行春桥的九孔。见宝带桥重修有作[清]宋崧澹台湖在具区东，利涉全资宝带功。山对楞伽邀串月，塘连葑水捍冲,在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。,
这种桥,这种桥,bridge,review,medium,1,0,1189,1189,1189,1189,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,单向拱推力，亦叫单向推力墩。这种一桥采用柔刚墩结合的技术是桥梁技术史上的一个重大成就。在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。现在建造多孔拱桥时，每隔3—,在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。,
过桥,过桥,bridge,review,medium,1,0,1232,1232,1232,1232,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，锦字迟来。扑蝴蝶·送春[清]曾廉万花锦绣，未必都成假。何心躲去，生憎飞絮惹。昨寻涧外山家，又过桥头酒舍。春情问消多寡。春归也。送春人在，宝带桥边泪如泻。年年准拟，花时邀做社。不知为甚匆匆，慌了,它的第一次重建在南宋绍定五年（1232），明代陈循在《重修宝带桥记略》中有“一度宝带桥坍毁，以建木桥而渡，过桥时有溺水者”的记载。,
稻谷荡,稻谷荡,water,review,medium,1,0,1307,1307,1307,1307,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,。绍定五年（1232）郡守邹应博重建宝带桥。元大德十一年（1307）蟹灾，多如蝗，境域田地皆满，稻谷荡尽。明正统年间（1436—1449）巡抚周忱修治宝带桥。景泰五年（1454）正月大雪，历二旬不止,元大德十一年（1307）蟹灾，多如蝗，境域田地皆满，稻谷荡尽。,
石塔,石塔,heritage,review,medium,8,0,1446,1446,1872,1446;1872,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,致使连续倒塌26孔。同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对，北堍建石塔和石亭，亭内置《重修宝带记》碑刻。此碑刻由张树声撰，应宝时书。碑阴列当时修葺江浙诸桥工程及助捐人,同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对，北堍建石塔和石亭，亭内置《重修宝带记》碑刻。 || 桥两端所存石狮、石塔为南宋时物件，明朝正统十一年（1446）的桥形就是今天的式样。,
尹山乡,尹山乡,historic_admin,manual,medium,1,1,1488,1488,1950,1488;1724;1912;1947;1948;1949;1950,7,古代-清末,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，境域复而归属吴县。1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。翌年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带,1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。 || 经宋、元、明三朝，明弘治元年（1488），县以下设乡，境域隶属长洲县尹山乡。 || 清雍正二年（1724）析长洲县东南地置元和县，境域隶属元和县尹山乡。,
长洲县,长洲县,admin_context,context,low,1,1,1488,1488,1912,1488;1637;1724;1912,4,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,夫差二十三年（前473），吴亡归越，境域为越地。前221年秦置吴县，境域属吴县。唐代析吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属,历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。 || 雍正二年（1724）析长洲县东南地置元和县，境域归属元和县。,
臞庵,臞庵,religious_site,review,medium,1,0,1553,1553,1553,1553,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,是他的朋友徐崧写的。张大纯将徐崧诗张挂在这里，是为了时时提醒自己来此结庐的目的。徐崧，字松之，号臞庵，苏州府吴江县人，明嘉靖三十二年（1553）进士、给事中徐师曾的后人。徐崧素负诗名，曾与当时名士,徐崧，字松之，号臞庵，苏州府吴江县人，明嘉靖三十二年（1553）进士、给事中徐师曾的后人。,
大湖,大湖,water,review,medium,1,0,1669,1669,1669,1669,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，宝带桥也在天灾人祸中沉浮。清康熙八年（1669），江浙一带阴雨连绵不绝，吴淞江、浏河宣泄不畅，大湖地区洪100水成灾，宝带桥遭此厄运轰然倒塌。地方官为了不使康熙下江南因看不到这座唐代名桥而,清康熙八年（1669），江浙一带阴雨连绵不绝，吴淞江、浏河宣泄不畅，大湖地区洪100水成灾，宝带桥遭此厄运轰然倒塌。,
浏河,浏河,waterway,review,medium,1,0,1669,1669,1669,1669,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,疏通渠道，开挖河道，平整土地，至翌年12月，开挖河道4条。11月25日，组织150名基干民兵参加浏河拓宽工程。是年，新华拼线厂建成投产。1976年1月8日，周恩来逝世，村民自觉佩戴黑纱，开展悼念活,清康熙八年（1669），江浙一带阴雨连绵不绝，吴淞江、浏河宣泄不畅，大湖地区洪100水成灾，宝带桥遭此厄运轰然倒塌。,
元和县,元和县,admin_context,context,low,1,1,1724,1724,1912,1724;1912,2,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。1949年,历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。,
澹台子祠,澹台子祠,religious_site,review,medium,3,1,1751,1751,2001,1751;2001,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,9月，澹台湖畔新建市民公园，与千年古桥——宝带桥连缀一起，景色如画，成为人们休闲、观光之地。附：澹台子祠为供奉春秋战国时期教育家、孔子七十二弟子之一澹台灭明的澹台子祠，始建于北宋。据史载，澹台灭明字子,乾隆十六年（1751）高宗南巡，诏令明朝云南姚安太守施悌配享祀澹台子祠。 || 2001年7月，里人筹款在宝带桥北首重建澹台子祠，以祀澹台灭明。,
验催河,验催河,waterway,review,medium,1,0,1831,1831,1831,1831,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,灭明像王仲舒像林则徐像第九章人物荣誉278总督、江苏巡抚时，补修治水方面知识，验催河工、保持质量。林则徐得知宝带桥坍塌，主持维修，费工料银六千六百七十两有奇。二、历届乡镇（街道）、,道光十一年（1831）擢升东河河道澹台灭明像王仲舒像林则徐像第九章人物荣誉278总督、江苏巡抚时，补修治水方面知识，验催河工、保持质量。,
拆去桥,拆去桥,bridge,review,medium,1,0,1863,1863,1863,1863,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,银六千六百七十两有奇”。清咸丰十年（1860）毁3孔。同治二年（1863）英军戈登驾舰攻打苏州，拆去桥中间大孔，致北面26孔连续倒塌。清同治十一年（1872）重建，并在南北两堍各置石狮一对，北堍建有,同治二年（1863）英军戈登驾舰攻打苏州，拆去桥中间大孔，致北面26孔连续倒塌。,
北堍建石塔和石亭,北堍建石塔和石亭,heritage,review,medium,1,0,1872,1872,1872,1872,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,桥孔，致使连续倒塌26孔。同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对，北堍建石塔和石亭，亭内置《重修宝带记》碑刻。此碑刻由张树声撰，应宝时书。碑阴列当时修葺江浙诸桥工程及助捐人姓名。,同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对，北堍建石塔和石亭，亭内置《重修宝带记》碑刻。,
北堍建碑亭,北堍建碑亭,heritage,review,medium,1,0,1872,1872,1872,1872,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,建时代惯例，修竣之时都立碑记事，其中最明确的是《吴县志》载：“同治十一年（1872）工程局重建，北堍建碑亭，有张中丞树声碑记。”可知这石亭是为立碑而建，是为碑亭。唐代元和年间宝带桥初落成时，似也应有碑及,按封建时代惯例，修竣之时都立碑记事，其中最明确的是《吴县志》载：“同治十一年（1872）工程局重建，北堍建碑亭，有张中丞树声碑记。,
石亭,石亭,heritage,review,medium,5,0,1872,1872,1989,1872;1989,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,续倒塌26孔。同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对，北堍建石塔和石亭，亭内置《重修宝带记》碑刻。此碑刻由张树声撰，应宝时书。碑阴列当时修葺江浙诸桥工程及助捐人姓名。,同治十一年（1872）水利工程局重建宝带桥，并在南北两堍各置石狮一对，北堍建石塔和石亭，亭内置《重修宝带记》碑刻。 || 清同治十一年（1872）重建，并在南北两堍各置石狮一对，北堍建有石亭，亭内置《重建宝带桥记》碑刻。 || 石亭朝东面向运河，亭的中央置《宝带桥重修记碑》，碑高2.06米，碑为1989年苏州市人民政府立。,
碑亭,碑亭,heritage,review,medium,3,0,1872,1872,1872,1872,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,拱脚宽为1.2米，称之为刚性墩。今之桥体用料以花岗石为主，间有青石和武康石。宝带桥桥北堍有花岗石碑亭，单檐歇山式，仿木结构。亭作方形，边长4.32米，通高6.13米。石亭敞开式，南、北两侧有石栏，,按封建时代惯例，修竣之时都立碑记事，其中最明确的是《吴县志》载：“同治十一年（1872）工程局重建，北堍建碑亭，有张中丞树声碑记。,
外浜,外浜,waterway,review,medium,1,0,1909,1909,2003,1909;2003,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,员的有沈根福，担任仓库保管员的有沈根福。七、钱家村钱家村村名最早记载于乾隆《元和县志》，位于境域外浜东西两侧，东临下田村，南为牛桩浜，西为朱塔浜，北连下田村南港河。2004年12月，建立居民生活小,1909年春，建起钱家村外浜桥（石板桥），5块石条每块厚0.4米，长3米，两面石墩。 || 2003年1月，宝南村填埋70米里浜、200米外浜、170米小里浜、120米陈家浜。,
外浜桥,外浜桥,bridge,review,medium,1,0,1909,1909,1909,1909,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，桥梁的建筑日新月异，既改善了交通，带动了地方经济的发展，又美化了环境。1909年春，建起钱家村外浜桥（石板桥），5块石条每块厚0.4米，长3米，两面石墩。1960年10月，因生产队载稻麦船过不了桥,1909年春，建起钱家村外浜桥（石板桥），5块石条每块厚0.4米，长3米，两面石墩。,
门窗均摇荡,门窗均摇荡,water,review,medium,1,0,1913,1913,1913,1913,1,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,中华民国1912年1月，元和县并入吴县，境域归属吴县。1913年4月3日，晨6时49分地震，境域门窗均摇荡，台凳倾倒，持续3分钟。6月20日，浙江海潮浸冲太湖，使湖水浑浊异常，历时3小时，随潮冲来境内带,1913年4月3日，晨6时49分地震，境域门窗均摇荡，台凳倾倒，持续3分钟。,
觅渡桥,觅渡桥,bridge,review,medium,1,0,1919,1919,1971,1919;1937;1952;1971,4,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,。全域河流在6—10月为丰水期，12月至来年2月为枯水期，其他月份为平水期。根据苏州地区水文站（觅渡桥测量点）39年（1919—1937、1952—1971）的资料统计，境域水文情况（均以吴淞标高为,根据苏州地区水文站（觅渡桥测量点）39年（1919—1937、1952—1971）的资料统计，境域水文情况（均以吴淞标高为准）是：正常水位2.8米，警戒水位3.5米，水位平均最高年3.27米，最低年2.28米。,
泥河,泥河,waterway,review,medium,80,0,1929,1929,2017,1929;1946;1950;1951;1954;1982;1990;1996;2004;2017,10,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1982年1月，宝尹大队将泥河田夹河溇北潘家桥（竹桥）改建为石桥。 || 1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。,
公路,公路,road,review,medium,3,0,1932,1932,2017,1932;1933;1944;1949;1968;1972;1974;1976;1978;1984;1985;1987;1989;1991;1992;1995;1998;2017,18,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,陆上道路交通十分闭塞。1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖,1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路； || 1932年12月，境内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。 || 1932年12月，境内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。,
家家出动劳力参与土筑苏州嘉兴公路,家家出动劳力参与土筑苏州嘉兴公路,road,review,medium,1,0,1932,1932,1932,1932,1,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,年夏，阴雨连绵，至9月雨势不止，河水骤涨，几成泽国，是境域42年来所未有。1932年12月，境内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。1933年6月27日，苏（州）嘉（兴）公路举行通车典礼。,1932年12月，境内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。,
苏嘉公路,苏嘉公路,road,review,medium,3,0,1932,1932,1991,1932;1974;1976;1991,4,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,泽国，是境域42年来所未有。1932年12月，境内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。1933年6月27日，苏（州）嘉（兴）公路举行通车典礼。1934年6月26日，,1932年12月，境内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。 || .3宝带桥南棉纱加工、并线41980821996.11转制金星镜片厂1977.2泥和田土地庙北镜片3500151994.12停办金星塑料厂1977.6金星大会堂食品塑料包装袋1400201983.12停办新华织布厂1978.5宝带桥南编织民用布匹4500401992.2停办金星铸件厂1978.2泥和田铜、铁件2300151996.7停办王家浜砖瓦厂1980.8跃进河南砖、瓦1.511000171996.2停办宝带桥汽车改装厂1984.8宝带桥南汽车改装、修理83300131987.8停办吴县味美酱品厂1985.11苏嘉公路朱河店桥南萝卜干、酱油、蜜汁黄瓜等酱品88000402000.12停办吴县废铁镔铁厂1986.8苏嘉公路朱河店桥北加工镔铁152500131996.5停办长桥纸箱包装厂1987.3宝带桥南纸盒1506600502000.8转制星火化工涂料厂1990.5泥河田港东南角涂料5200071996.12停办振尹合成树脂化工厂1993.2胜利桥南582、336树脂1815000101996.12停办表4-191974—1991年宝带桥社区境域集体企业产值利润选年统计表年份宝尹（金星）宝南（新华）合计职工人数/人产值/万元利润 || 0151994.12停办金星塑料厂1977.6金星大会堂食品塑料包装袋1400201983.12停办新华织布厂1978.5宝带桥南编织民用布匹4500401992.2停办金星铸件厂1978.2泥和田铜、铁件2300151996.7停办王家浜砖瓦厂1980.8跃进河南砖、瓦1.511000171996.2停办宝带桥汽车改装厂1984.8宝带桥南汽车改装、修理83300131987.8停办吴县味美酱品厂1985.11苏嘉公路朱河店桥南萝卜干、酱油、蜜汁黄瓜等酱品88000402000.12停办吴县废铁镔铁厂1986.8苏嘉公路朱河店桥北加工镔铁152500131996.5停办长桥纸箱包装厂1987.3宝带桥南纸盒1506600502000,
苏（州）嘉（兴）公路,苏（州）嘉（兴）公路,road,review,medium,3,0,1932,1932,1933,1932;1933,2,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,内家家出动劳力参与土筑苏州嘉兴公路，是月21日，苏嘉公路苏州至吴江段竣工。1933年6月27日，苏（州）嘉（兴）公路举行通车典礼。1934年6月26日，气温高达38.6℃，创境域60年来6月份最高纪录。夏，入梅以,1933年6月27日，苏（州）嘉（兴）公路举行通车典礼。 || 167第一节基础设施一、交通公路1932年1月，土筑沿古运河的苏（州）嘉（兴）公路。,
宝带乡,宝带乡,historic_admin,manual,medium,1,1,1934,1934,1950,1934;1941;1950,3,民国时期,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,归吴县淞北区尹山乡。翌年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6,1934年，吴县第十四区并入第八区，改称第八区，时，境域隶属吴县第八区宝带乡。 || 1941年7月，并编区，伪吴县第八区并入第十一区，时，境域属伪吴县第十一区宝带乡。 || 1950年3月，吴县拆编乡（镇），尹山乡拆分为长桥乡、宝带乡、尹山乡、青树乡，境域隶属车坊区宝带乡。,
军飞机又炸毁桥,军飞机又炸毁桥,bridge,review,medium,1,0,1937,1937,1937,1937,1,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,北端26个孔连锁反应崩塌。十一年（1872），重建复通。民国二十六年（1937）‘八一三事变’日军飞机又炸毁桥南端6孔。1956年修复，1982年再度维修。”从这记载中可以看出，宝带桥始建于唐代，在迄今为止,民国二十六年（1937）‘八一三事变’日军飞机又炸毁桥南端6孔。,
