rank,curated_rank,gazetteer_name,gaode_map_item,place_type,mention_level,canonical_mention_count,raw_surface_count,top_themes,reason,has_coord,coordinate_quality,lon,lat,coord_source,coord_status,coord_crs,match_status,visual_priority,primary_year,time_type,year_list,year_count,rank_label,context_examples,first_context,notes
41,33,碧波幼儿园,碧波幼儿园,education,中频,12,11,教育民生:66；基层治理:10,该地名属于教育设施，在志书中约出现12次，主要关联教育民生、基层治理；主要时间锚点为1998年。,0,缺坐标,,,,missing,,review,medium,1998,开发区建设,1946;1998;2006;2007;2010;2014;2017,7,33. 碧波幼儿园（12次）,年在90—100人，其中：宝尹40人左右，宝南60人左右。2371996年9月1日，碧波实验小学附属幼儿园成立，宝尹村幼儿园并入碧波幼儿园。1998年9月1日，宝南村幼儿园并入碧波幼儿园。境内历任幼儿教师宝尹村有张菊英、潘文妹、朱素芳、施桂珍、潘永芳、朱建芳、钱月青 || 0人左右。2371996年9月1日，碧波实验小学附属幼儿园成立，宝尹村幼儿园并入碧波幼儿园。1998年9月1日，宝南村幼儿园并入碧波幼儿园。境内历任幼儿教师宝尹村有张菊英、潘文妹、朱素芳、施桂珍、潘永芳、朱建芳、钱月青等，宝南村有马福珠、徐香英、倪美芳、费招根、陆美 || 、潘文妹、朱素芳、施桂珍、潘永芳、朱建芳、钱月青等，宝南村有马福珠、徐香英、倪美芳、费招根、陆美香、倪锋媛等。2017年12月，碧波幼儿园设23个班，教师52人，保育员（职工）23人，幼儿园学生710人。碧波幼儿园历任正副园长：1998年9月，何雪英任碧波幼儿园园长,右，宝南60人左右。2371996年9月1日，碧波实验小学附属幼儿园成立，宝尹村幼儿园并入碧波幼儿园。1998年9月1日，宝南村幼儿园并入碧波幼儿园。境内历任幼儿教师宝尹村有张菊英、潘文妹、朱素芳,
42,34,京杭大运河,京杭大运河,waterway,中频,11,21,交通水系:89；遗产文化:37；基层治理:14,该地名属于运河河道，在志书中约出现11次，主要关联交通水系、遗产文化；主要时间锚点为1987年。,1,已匹配坐标,120.6536904,31.2566100,derived_from_related_place,local_anchor_coord,GCJ-02,matched,high,1987,改革开放初期,1987;2004;2005;2020,4,34. 京杭大运河（11次）,现澹台湖的地方结庐修学，弟子三百之众，名闻遐迩。由于地理变迁，当年澹台灭明修学之地，陷落为湖泊，后人为纪念他，故名澹台湖。唐代，京杭大运河边所筑纤道中断于澹台湖，此处水急浪高，不利舟楫，致使粮船滞集。元和十一年至十四年（816—819），苏州刺史王仲舒变卖束身宝带， || 物馆等设施的情况。是月，宝带桥·澹台湖景区更名为大运河国家文化公园——宝带桥·澹台湖核心展示园。第一章建置地理宝带桥社区境域东依京杭大运河苏嘉段，南接吴中区城南街道红庄社区，西连吴中区城南街道新江、龙南社区，北靠苏南运河市河段，总面积3.2平方千米，共有大小内河39 || 街道，更名为宝带桥社区居委会。第一章建置地理26第二节地理环境宝带桥社区境域地处长江三角洲腹地、上海经济区大都市圈内，东依古老的京杭大运河苏嘉段，与郭巷街道相望；南接吴中区城南街道红庄社区；西连吴中区城南街道新江、龙南社区；北靠苏南运河市河段，总面积为3.2平方千米,之众，名闻遐迩。由于地理变迁，当年澹台灭明修学之地，陷落为湖泊，后人为纪念他，故名澹台湖。唐代，京杭大运河边所筑纤道中断于澹台湖，此处水急浪高，不利舟楫，致使粮船滞集。元和十一年至十四年（816—819,
44,35,宝南小学,宝南小学,education,中频,11,11,教育民生:45；基层治理:13；交通水系:4,该地名属于教育设施，在志书中约出现11次，主要关联教育民生、基层治理；主要时间锚点为1980年。,1,可用坐标_需复核,120.6255782,31.2759153,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,review,medium,1980,改革开放初期,1980;1986;1990;1995,4,35. 宝南小学（11次）,日，15号台风袭击境内，连降暴雨，境内低洼农田受淹、部分老旧民房倒塌。9月6日，遭17号台风袭击，境内河水猛涨，洼田被淹。是月，宝南小学新建十楼十底教室启用，宝尹、新江、龙南等村高年级小学生被吸收入学。时宝南小学有12个班级，450名学生，18名教师。1991年6 || 日，遭17号台风袭击，境内河水猛涨，洼田被淹。是月，宝南小学新建十楼十底教室启用，宝尹、新江、龙南等村高年级小学生被吸收入学。时宝南小学有12个班级，450名学生，18名教师。1991年6月2日至20日，暴雨，7月上旬，连降梅雨，境内有三分之一耕地被淹，各村组织基 || 统筹医疗，以后又成立社队联办的合作医疗管理机构，为社员群众服务。1990年9月，境域在教育事业上跨越一大步，投资建起了十楼十底的宝南小学。1994年1月，推行大病风险医疗制度。1995年6月，新建碧波实验小学（含幼儿园），建筑面积35137平方米。1999年4月，,，境内低洼农田受淹、部分老旧民房倒塌。9月6日，遭17号台风袭击，境内河水猛涨，洼田被淹。是月，宝南小学新建十楼十底教室启用，宝尹、新江、龙南等村高年级小学生被吸收入学。时宝南小学有12个班级，450,
45,36,宝尹大队,宝尹大队,historic_admin,中频,11,15,基层治理:75；农业工业:12；交通水系:9,该地名属于历史行政/集体组织，在志书中约出现11次，主要关联基层治理、农业工业；主要时间锚点为1980年。,0,缺坐标,,,,missing,,manual,medium,1980,改革开放初期,1980;1981;1982;1983,4,36. 宝尹大队（11次）,姚长泉、江根土，新华大队陈林男、朱阿夯、马金（根）姐当选长桥人民公社第八届人民代表大会代表。11月，为避地名重叠，金星大队更名为宝尹大队、新华大队更名为宝南大队。1981年3月，开展“五讲”（讲文明、讲礼貌、讲卫生、讲秩序、讲道德）“四美”（心灵美、语言美、行为美 || 提倡一对夫妻只生一个孩子。6月，省政府拨款修缮宝带桥，工程由吴县文管委负责，吴县桥梁工程队施工，历时一年半竣工。1982年1月，宝尹大队将泥河田夹河溇北潘家桥（竹桥）改建为石桥。7月1日，全国第三次人口普查登记，以0时标准统计时间为准。境内有常住人口2922人，其 || 分田到组。1983年3月，全面推行家庭联产承包责任制，分田到户。6月20日至7月18日，阴雨连绵，境内低洼农田被淹。7月21日，宝尹大队罗纪根、钱招媛，宝南大队陈林男、陶官林、何招根妹当选为中共长桥乡第四次党代会代表。7月31日，晚上7时至次日上午7时，境内连降暴,朱阿夯、马金（根）姐当选长桥人民公社第八届人民代表大会代表。11月，为避地名重叠，金星大队更名为宝尹大队、新华大队更名为宝南大队。1981年3月，开展“五讲”（讲文明、讲礼貌、讲卫生、讲秩序、讲道德）,
46,37,泥河田,泥河田,historic_settlement,中频,11,141,交通水系:47；基层治理:44；教育民生:16,该地名属于历史自然村，在志书中约出现11次，主要关联交通水系、基层治理；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1929;1946;1950;1951;1954;1982;1990;1996;2004;2017,10,37. 泥河田（11次）,域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月 || 。1941年4月，境内下田村坟堂上40岁朱女士，被日本兵从坟堂上沿南港河（俗称马桶河）追逃至廿五港刺死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店 || 全长29.98千米沙土公路通车。1978年改沙土路面为沥青路面。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属吴县车坊区尹山乡。1949年4月27日，境域解放。5月,桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名,
47,38,澹台湖公园,澹台湖公园,park,中频,11,12,交通水系:74；遗产文化:31；开发建设:3,该地名属于公园，在志书中约出现11次，主要关联交通水系、遗产文化；主要时间锚点为1996年。,1,可用坐标_需复核,120.6499934,31.2556431,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,review,medium,1996,开发区建设,1996,1,38. 澹台湖公园（11次）,的作用。现在，沿苏州古城的运河已经改道，河水改由宝带桥北面的澹台湖中通过，再转入原运河河道。宝带桥及石亭、石塔，则都已列入新建的澹台湖公园的范围。录自1999年6月上海文化出版社《苏州古亭》水乡泽国桥文化（节选）冀岗邹志尖吴中大地，湖荡棋布，河港纵横，素有“水乡泽国 || 红再去那里畅游，那时候，她又该是副怎样的娇模样呢？！录自1996年6月《吴县报》95澹台湖上白鹭飞陈屹兴日前清晨起床后，我突发去澹台湖公园走走的念头。于是，沿着迎春路一路向南走去。走过嘉宝三期住宅区，一阵清风迎面扑来，我漫步走上澹台湖大桥，顿时，一幅绝妙的风景画出现 || ，这些鸟儿已经熟识了这里的环境，习惯了这里的生活。我一边尽情地欣赏湖中的美景，一边又把目光慢慢投向了岸上。湖的南岸，就是我要去的澹台湖公园。从桥上最高处向园内望去，满眼都是绿，那高的是绿，低的也是绿；那深的是绿，浅的也是绿。满园的绿树成荫。尤其是那高大成片的枫杨树，,经改道，河水改由宝带桥北面的澹台湖中通过，再转入原运河河道。宝带桥及石亭、石塔，则都已列入新建的澹台湖公园的范围。录自1999年6月上海文化出版社《苏州古亭》水乡泽国桥文化（节选）冀岗邹志尖吴中大地,
48,39,澹台湖大桥,澹台湖大桥,bridge,中频,11,11,交通水系:101；遗产文化:21；开发建设:7,该地名属于桥梁，在志书中约出现11次，主要关联交通水系、遗产文化；主要时间锚点为2004年。,1,可用坐标_需复核,120.6405180,31.2607040,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,review,medium,2004,社区成立与城市更新,2004;2017,2,39. 澹台湖大桥（11次）,村舍点缀；又与宝带桥相连，西面不远处则有苍翠的七子山，十分入画。旖旎的风光，吸引了众多文人墨客流连、吟咏。2004年6月，建成的澹台湖大桥横跨京杭大运河，桥身两侧各有一个巨大弯拱，线条优美，错落有致。站在大桥上，整个湖面一览无余。2016年9月，澹台湖畔新建市民公园 || 绘了唐代苏州刺史王仲舒捐带建桥等事迹。宝带桥·澹台湖景区导览图81二、桥梁景观宝带桥·澹台湖景区东为千年宝带古桥，西为现代精装修澹台湖大桥，中间跨湖的为景观桥；在宝带桥上隔着运河向对岸眺望，是双层形状的斜港大桥。新斜港大桥为苏州首座全钢结构特大型下承式系杆双层拱桥， || 径布置为南北各68米的边跨和180米的河中跨。上层桥面距水20多米，七八层楼的高度。下层与地面道路相接。景观桥位于江南运河中段，澹台湖大桥东侧200米左右，是异形结构式钢结构拱桥，桥长174米，宽6米，单跨110米。整座景观桥为“8”字形。“8”字形的造型在苏州大桥,远处则有苍翠的七子山，十分入画。旖旎的风光，吸引了众多文人墨客流连、吟咏。2004年6月，建成的澹台湖大桥横跨京杭大运河，桥身两侧各有一个巨大弯拱，线条优美，错落有致。站在大桥上，整个湖面一览无余。20,
49,40,党群服务中心,党群服务中心,service_facility,中频,10,9,教育民生:35；基层治理:27；交通水系:19,该地名属于社区服务设施，在志书中约出现10次，主要关联教育民生、基层治理；主要时间锚点为2008年。,0,缺坐标,,,,missing,,review,medium,2008,社区成立与城市更新,1956;1964;2008;2017;2020,5,40. 党群服务中心（10次）,，《人民日报》发表王伟健题为“古今辉映水润姑苏”的文章，介绍大运河文化带的世界文化遗产——宝带桥。8月29日上午，宝带桥社区举行党群服务中心新楼竣工揭幕仪式。9月26日上午，吴中区人大常委会主任张炳华带领区人大常委会委员一行9人，在区教育局局长陆为民等人陪同下至碧波中 || 地文化的吴中博物馆建成开馆。是月，境内居民生活小区始行垃圾分类。7月13日，吴中区地方志办公室、吴中区城南街道办事处在宝带桥社区党群服务中心会议室举行《宝带桥社区志》评审会。是月，连降大雨，太湖水位超过警戒水位，境域澹台湖畔低洼地受淹。是月，江苏省文物局下达《关于苏州 || 居民进行体检等专项服务。2008年3月，当地社区为倾听群众之声，提高为居民服务质量，成立了来访接待中心。2017年12月，设立了党群服务中心，对居民社会保障、困难救助、优生优育、法律咨询、妇幼维权等进行开放式、一站式服务。167第一节基础设施一、交通公路1932年1月,辉映水润姑苏”的文章，介绍大运河文化带的世界文化遗产——宝带桥。8月29日上午，宝带桥社区举行党群服务中心新楼竣工揭幕仪式。9月26日上午，吴中区人大常委会主任张炳华带领区人大常委会委员一行9人，在区教,
50,41,天灵路,天灵路,road,中频,10,15,交通水系:47；开发建设:11；农业工业:11,该地名属于道路，在志书中约出现10次，主要关联交通水系、开发建设；主要时间锚点为1992年。,1,已匹配坐标,120.6365128,31.2451661,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,matched,medium,1992,开发区建设,1949;1992;1993;1994;1995;1996;2016;2017,8,41. 天灵路（10次）,是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏 || （苏州）嘉（嘉兴）公路改道，宝带桥西侧公路桥拆除。9月，宝尹村港南浜老村改造，20户村民搬迁至朱塔浜。12月，境域新建宝通路，为天灵路至东吴南路支路，南北走向，境内长度986米。新建宝丰路，为澄湖中路至东吴南路次干路，南北走向，境内长度650米。1999年4月， || 17年12月，海内外工贸企业已有364家先后落户境内。境域内主要工商企业如下。苏州市江远热电有限责任公司1993年5月创办，位于天灵路2号。主营热电联产、销售灰渣、第三产业开发、工业固体废物治理（不含危险废物），占地面积79334平方米，建筑面积24055.92,后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路,
53,42,东吴南路,东吴南路,road,低频,9,11,交通水系:54；开发建设:10；基层治理:9,该地名属于道路，在志书中约出现9次，主要关联交通水系、开发建设；主要时间锚点为1992年。,1,已匹配坐标,120.6294373,31.2616784,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,matched,medium,1992,开发区建设,1949;1989;1992;2002;2017,5,42. 东吴南路（9次）,49年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金 || 技术开发区。1993年4月1日，遵照省委、省政府决定，是日起境域全面放开粮食、油料购销价格。5月，新建阳山路（后改迎春南路），为东吴南路至澹台湖主干路，南北走向，境内长度2756米。7月16日，境内村、组二级干部和群众代表参加吴县人民法院在蠡墅镇召开的严打大会。7 || 嘉（嘉兴）公路改道，宝带桥西侧公路桥拆除。9月，宝尹村港南浜老村改造，20户村民搬迁至朱塔浜。12月，境域新建宝通路，为天灵路至东吴南路支路，南北走向，境内长度986米。新建宝丰路，为澄湖中路至东吴南路次干路，南北走向，境内长度650米。1999年4月，宝带桥入选,归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔,
56,43,吴中经济开发区,吴中经济开发区,admin_context,低频,9,15,基层治理:44；开发建设:36；交通水系:30,该地名属于行政背景，在志书中约出现9次，主要关联基层治理、开发建设；主要时间锚点为1992年。,0,缺坐标,,,,missing,,context,low,1992,开发区建设,2000;2001;2003;2009;2010;2013;2020,7,43. 吴中经济开发区（9次）,平方米。是年，朱塔浜南岸18户居民、塘里（澹台湖西岸）6户居民搬迁至钱家新村居民生活小区。2003年1月，宝尹、宝南2居委会根据吴中经济开发区管理委员会〔2002〕第31号文规定，禁止境内养猪。3月至4月，吴家角35户居民、泥河田38户居民搬迁至下田村、钱家新村居民生活 || 村居民生活小区。7月7日，撤销宝南、宝尹村党支部，建立中共宝带桥支部委员会。是月，宝尹、宝南两个居委会合并为宝带桥居委会。是月，吴中经济开发区管委会授予宝带桥居委会“2003年度吴中经济开发区无偿献血工作先进集体”称号。是月，宝带桥入选苏州邮政局监制，苏州邮电广告公司、 || 建立中共宝带桥支部委员会。是月，宝尹、宝南两个居委会合并为宝带桥居委会。是月，吴中经济开发区管委会授予宝带桥居委会“2003年度吴中经济开发区无偿献血工作先进集体”称号。是月，宝带桥入选苏州邮政局监制，苏州邮电广告公司、苏州博彩图文有限公司设计的《苏州桥影》明信片图录。,民、塘里（澹台湖西岸）6户居民搬迁至钱家新村居民生活小区。2003年1月，宝尹、宝南2居委会根据吴中经济开发区管理委员会〔2002〕第31号文规定，禁止境内养猪。3月至4月，吴家角35户居民、泥河田38户居,
57,44,泥河田港,泥河田港,waterway,低频,9,12,交通水系:70；基层治理:36；农业工业:9,该地名属于运河河道，在志书中约出现9次，主要关联交通水系、基层治理；主要时间锚点为1967年。,0,缺坐标,,,,missing,,review,medium,1967,集体化与农业建设,1967;1974;1991;1995;2017,5,44. 泥河田港（9次）,后成立“造反队”“战斗队”。1967年1月，受上海“一月风暴”影响，金星、新华大队风行“夺权”。2月，金星大队成立养鱼专业队，在泥河田港放养鱼苗。3月，金星、新华大队党、政工作由大队民兵营长主持。1968年3月5日，始行废除土葬。8月，掀起“三忠于”（忠于毛主席、 || 境域在20世纪90年代初期，共有大小内河流39条，总长度16555米。南北纵向的骨干河道有古运河、宝南中心河（原北为廿五港，南为泥河田港）和古塘河；东西纵向的骨干河道有泥河田港（原为宝尹南港河）、跃进河、金家村河、马桶港（原为宝南南港河）和苏南运河。加之各自然村的 || 流39条，总长度16555米。南北纵向的骨干河道有古运河、宝南中心河（原北为廿五港，南为泥河田港）和古塘河；东西纵向的骨干河道有泥河田港（原为宝尹南港河）、跃进河、金家村河、马桶港（原为宝南南港河）和苏南运河。加之各自然村的内河小溪，纵横交叉，起着引调、蓄纳和排灌,67年1月，受上海“一月风暴”影响，金星、新华大队风行“夺权”。2月，金星大队成立养鱼专业队，在泥河田港放养鱼苗。3月，金星、新华大队党、政工作由大队民兵营长主持。1968年3月5日，始行废除土葬。8,
58,45,金家村河,金家村河,waterway,低频,9,8,交通水系:44；基层治理:19；开发建设:7,该地名属于运河河道，在志书中约出现9次，主要关联交通水系、基层治理；主要时间锚点为1972年。,0,缺坐标,,,,missing,,review,medium,1972,集体化与农业建设,1968;1972;2015;2017,4,45. 金家村河（9次）,路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施环境、卫生 || 社大会堂，听取吴县县委传达林彪“九一三”叛国外逃事件的有关文件。是月底，传达至群众。1972年1月，新华大队开掘全长2000米的金家村河。2月，境内经过一年多的除害灭疫活动，全面复查无钉螺。12月，100名基干民兵参加白茆塘（河）拓浚工程。1973年秋，金星、新华 || 米）。是月，宝带桥社区投资1229万元建设的东湖“宝信工业坊”竣工（系7049平方米标准厂房一幢）。2015年1月，1100米的金家村河清淤污泥9000立方米。2月，上旬气温骤降，最低温度-10℃，境内水管、水表爆裂无数，冻损严重。12月，西下田北区（别墅区）沈才,里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁,
59,46,吴家角,吴家角,historic_settlement,低频,8,42,基层治理:88；交通水系:82；教育民生:9,该地名属于历史自然村，在志书中约出现8次，主要关联基层治理、交通水系；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1929;1949;1950;1951;1954;1992;2003;2004;2017,9,46. 吴家角（8次）,乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。翌年3月，长桥乡并入郭巷乡，境域 || 桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院、最高人民法院颁布的《关于镇压反革命活动的指示》，开展镇 || 民生活小区。2003年1月，宝尹、宝南2居委会根据吴中经济开发区管理委员会〔2002〕第31号文规定，禁止境内养猪。3月至4月，吴家角35户居民、泥河田38户居民搬迁至下田村、钱家新村居民生活小区。7月7日，撤销宝南、宝尹村党支部，建立中共宝带桥支部委员会。是月,境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称长桥，境域隶属长桥乡。,
62,47,跃进河,跃进河,waterway,低频,8,7,交通水系:43；基层治理:15；开发建设:8,该地名属于运河河道，在志书中约出现8次，主要关联交通水系、基层治理；主要时间锚点为1991年。,0,缺坐标,,,,missing,,review,medium,1991,改革开放初期,1968;1991;2017,3,47. 跃进河（8次）,；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居民生活小区实施环境、卫生、安全等 || 。南北纵向的骨干河道有古运河、宝南中心河（原北为廿五港，南为泥河田港）和古塘河；东西纵向的骨干河道有泥河田港（原为宝尹南港河）、跃进河、金家村河、马桶港（原为宝南南港河）和苏南运河。加之各自然村的内河小溪，纵横交叉，起着引调、蓄纳和排灌吞吐的作用，形成了与运河、 || 编织民用布匹4500401992.2停办金星铸件厂1978.2泥和田铜、铁件2300151996.7停办王家浜砖瓦厂1980.8跃进河南砖、瓦1.511000171996.2停办宝带桥汽车改装厂1984.8宝带桥南汽车改装、修理83300131987.8停办吴县,东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港、金家河、金星内河、新华内河等河道，并对村庄进行旧房改造、动迁安置；居,
64,48,古塘河,古塘河,waterway,低频,7,10,交通水系:86；基层治理:18；开发建设:8,该地名属于运河河道，在志书中约出现7次，主要关联交通水系、基层治理；主要时间锚点为1992年。,0,缺坐标,,,,missing,,review,medium,1992,开发区建设,1992;2017,2,48. 古塘河（7次）,、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖 || 纪90年代初期，共有大小内河流39条，总长度16555米。南北纵向的骨干河道有古运河、宝南中心河（原北为廿五港，南为泥河田港）和古塘河；东西纵向的骨干河道有泥河田港（原为宝尹南港河）、跃进河、金家村河、马桶港（原为宝南南港河）和苏南运河。加之各自然村的内河小溪， || 夏金水土、李龙根，担任手扶拖拉机手（机耕员）的有李龙根。37八、朱塔浜（村）朱塔浜村位于境域西，村东为钱家村，村南为金家村，西临古塘河，北连田渡浜。1950年4月，朱塔浜隶属吴县枫桥区宝带乡。1954年4月，为长桥乡朱塔浜初级农业生产合作社。1956年，隶属长桥,走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、,
67,49,石湖,石湖,water,低频,7,50,交通水系:71；基层治理:19；开发建设:11,该地名属于湖泊水面，在志书中约出现7次，主要关联交通水系、基层治理；主要时间锚点为1189年。,0,缺坐标,,,,missing,,review,medium,1189,古代-清末,1189;1949;1992;2002;2005;2006;2011;2013;2016;2017;2020,11,49. 石湖（7次）,圈内，东依大运河，分别与郭巷街道、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，受太湖水体调节，气候宜人，雨量充 || 月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、 || 后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路；构筑了古塘河桥、下塔里桥、石湖东路公路桥、钱家桥、金家桥、8号不锈钢栏桥等桥梁；开拓疏通了钱家村河、黄家浜、兴隆河、金家村河、跃进河、澹台湖北运河、牛桩浜东港,、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，,
71,50,城南街道,城南街道,admin_context,低频,6,48,基层治理:49；交通水系:43；遗产文化:18,该地名属于行政背景，在志书中约出现6次，主要关联基层治理、交通水系；主要时间锚点为2004年。,0,缺坐标,,,,missing,,context,low,2004,社区成立与城市更新,2004;2005;2006;2009;2010;2014;2016;2017;2020,9,50. 城南街道（6次）,、人民政府领导下，用自己的聪明才智、勤劳双手，在新时代新征程中，牢记使命，不负韶华，做出新的贡献，书写新的篇章。中共苏州市吴中区城南街道宝带桥社区委员会书记苏州市吴中区城南街道宝带桥社区居民委员会主任21目录概述…………………………………………………………………… || 双手，在新时代新征程中，牢记使命，不负韶华，做出新的贡献，书写新的篇章。中共苏州市吴中区城南街道宝带桥社区委员会书记苏州市吴中区城南街道宝带桥社区居民委员会主任21目录概述………………………………………………………………………………………………1大事记……………… || …328宝带桥社区志1概述宝带桥社区坐落在长江三角洲腹地、上海经济区大都市圈内，东依大运河，分别与郭巷街道、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色,智、勤劳双手，在新时代新征程中，牢记使命，不负韶华，做出新的贡献，书写新的篇章。中共苏州市吴中区城南街道宝带桥社区委员会书记苏州市吴中区城南街道宝带桥社区居民委员会主任21目录概述………………,
