Name,Category,X,Y,Confidence,Reference_Logic
丰乐桥,桥梁,13376943.2,3535770.0,low,V3校准：参照御街中南段附近桥梁带，轻微西偏；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
大内,宫城,13376755.1,3532590.5,high,V3硬校准：imperial_palace.geojson多边形质心
皇城,宫城,13376790.1,3532605.5,high,V3硬校准：imperial_palace.geojson多边形质心东偏，作为皇城面状代表点
南宋太庙,宫城,13375680.0,3533515.0,medium,V3微调：位于清波门以南、皇城西北侧，参照叠合图点位；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
龙翔宫,宫城,13375490.0,3533110.0,medium,V3微调：位于皇城西侧、南城墙北侧，参照南宋太庙/报恩寺关系；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
佑圣观,寺观,13375680.0,3534350.0,medium,V3微调：位于钱湖门东北、太学西南，参照叠合图点位；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
报恩寺,寺观,13375350.0,3532910.0,medium,V3微调：位于皇城西南、南城墙内侧，参照西湖南缘与城墙关系；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
新水池,水体,13376705.1,3532958.5,medium,V3校准：位于imperial_palace多边形南侧偏西，作为新水池代表点；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
中军堂,军事,13376770.1,3532918.5,medium,V3校准：位于imperial_palace多边形南侧中部，作为中军堂代表点；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
修内司营,衙署,13375610.0,3533255.0,low,V3微调：参照皇城西侧官署/营区与龙翔宫、南宋太庙之间关系低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
后苑,园苑,13376765.1,3533492.0,medium,V3校准：位于imperial_palace多边形北侧，作为后苑代表点；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
保俶塔,寺观,13374880.0,3537130.0,medium,V3西湖校准：位于钱塘门西南、西湖东北岸山体寺塔区，较V2向西修正；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
断桥,桥梁,13374840.0,3536400.0,medium,V3西湖校准：参照钱塘门/涌金门之间的西湖北岸桥位，较V2向西微调；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
孤山,山体,13374740.0,3535870.0,medium,V3西湖校准：参照西湖中北部孤山位置，较V2向湖心西移；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
宝石山,山体,13374900.0,3537695.0,medium,V3西湖校准：参照钱塘门西北、西湖北岸山体区，较V2向西修正；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
柳洲寺,寺观,13375140.0,3534200.0,low,V3微调：古图左页西湖南缘寺院文字疑似，参照钱湖门西北与西湖东岸低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
石佛寺,寺观,13374870.0,3537270.0,low,V3西湖校准：古图左页西湖北岸寺院文字疑似，参照保俶塔/宝石山低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
古曹婆寺,寺观,13375080.0,3533150.0,low,V3微调：古图左页西湖南侧寺院文字疑似，参照报恩寺西侧低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
雷峰塔,寺观,13375060.0,3533570.0,medium,V3西湖南缘校准：参照西湖南侧塔寺位置与南宋太庙西侧关系；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
净慈寺,寺观,13375020.0,3532970.0,low,V3西湖南缘校准：参照雷峰塔与报恩寺之间，古图寺名低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
小孤山,山体,13374780.0,3535530.0,low,V3西湖校准：参照孤山南侧水域山体疑似位置，低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
三茅观,寺观,13375320.0,3536850.0,low,V3微调：参照西湖东岸与涌金门西北侧，宫观名低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
东岳宫,寺观,13376401.3,3537360.0,low,V3校准：参照imperial_street与西湖东岸之间，古图宫观名低置信定位；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
水仙王庙,寺观,13376741.5,3537340.0,low,V3校准：参照imperial_street中北段西侧，古图庙名低置信定位；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
涌金池,水体,13375460.0,3536230.0,medium,V3校准：参照涌金门死锚西南侧水体，较V2贴近城门与湖岸；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
西湖,水体,13374650.0,3535550.0,medium,V3西湖校准：作为西湖水域代表点，较V2向湖心西移；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
东御街坊巷群,坊巷,13377313.8,3536750.0,low,V3校准：以imperial_street中段为轴，向东约350m表示御街东侧坊巷密集区；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
西御街坊巷群,坊巷,13376603.8,3536750.0,low,V3校准：以imperial_street中段为轴，向西约360m表示御街西侧坊巷密集区；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
新开门内坊巷,坊巷,13377161.5,3535070.0,low,V3城墙内约束：参照新开门死锚向城内西侧偏移，并与御街东侧街区协调；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
保安门内坊巷,坊巷,13377079.0,3534300.0,low,V3城墙内约束：参照保安门死锚向城内西侧偏移，并与御街东侧街区协调；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
候潮门内坊巷,坊巷,13377003.5,3533710.0,low,V3城墙内约束：参照候潮门死锚向城内西侧偏移，保留低置信；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
嘉会门内坊巷,坊巷,13376780.0,3532610.0,low,V3微调：参照嘉会门死锚向城内北侧偏移，避开南城墙边界；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
钱塘门内坊巷,坊巷,13375760.0,3537695.0,low,V3微调：参照钱塘门死锚向城内东侧偏移，结合西御街北段街区；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
清波门内坊巷,坊巷,13375810.0,3535125.0,low,V3微调：参照清波门死锚向城内东侧偏移，结合太学/临安府片区；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
涌金门内坊巷,坊巷,13375930.0,3536135.0,low,V3微调：参照涌金门死锚向城内东侧偏移，避免过近御街中轴；V4全局纠偏：依据QGIS+OSM目视检查，非硬锚地名整体向北平移650m
